"","Model","Parameter","Estimate","Cred_Int"
"1","Standardized","Intercept",-0.202192839895395,"(-0.67, 0.24)"
"2","Standardized","Regional-level (100 km radius) change in
mean % tree cover from 1990 to 2020",1.6095234657265,"(0.75, 2.4)"
"3","Standardized","Local-level (1 km radius) change in
mean % tree cover from 1990 to 2020",-0.00207149142507022,"(-0.57, 0.54)"
"4","Standardized","Group involvement",0.769926691722582,"(-0.04, 1.59)"
"5","Standardized","Interaction of local- and regional-level
change in mean % tree cover",-1.18031827492373,"(-2.12, -0.3)"
"6","Unstandardized","Intercept",-1.74274146076166,"(-2.18, -1.32)"
"7","Unstandardized","Regional-level (100 km radius) change in
mean % tree cover from 1990 to 2020",49.9248155006095,"(47.96, 51.84)"
"8","Unstandardized","Local-level (1 km radius) change in
mean % tree cover from 1990 to 2020",10.1322081578558,"(8.33, 11.97)"
"9","Unstandardized","Group involvement",0.843382964126897,"(0.07, 1.65)"
"10","Unstandardized","Interaction of local- and regional-level
change in mean % tree cover",-349.993185327248,"(-351.9, -348.06)"
